,character,line
48,TONY STARK," Who told you that?  I didn't fight him. No, he wiped my face with a planet while the Bleecker Street Magician gave away the store. That's what happened. There was no fight."
49,STEVE ROGERS, Okay.
50,TONY STARK, He's unbeatable.
51,STEVE ROGERS," Did he give you any clues, any coordinates, anything?"
52,TONY STARK, Pfft! I saw this coming a few years back. I had a vision. I didn't wanna believe it. Thought I was dreaming.
53,STEVE ROGERS," Tony, I'm gonna need you to focus."
54,TONY STARK,  I need to shave. And I believe I remember telling all youse -
55,RHODEY," Tony, Tony, Tony!"
56,TONY STARK, Alive and otherwise what we needed was a suit of armor around the world! Remember that? Whether it impacted our precious freedoms or not- that's what we needed!
57,STEVE ROGERS," Well, that didn't work out, did it?"
58,TONY STARK," I said, ""we'd lose"". You said, ""We'll do that together too."" And guess what, Cap? We lost. And you weren't there. But that's what we do, right? Our best work after the fact? We're the Avengers, we're the Avengers. Not the Prevengers."
59,RHODEY, Okay.
60,TONY STARK, Right?
61,RHODEY, You made your point. Just sit down.
62,TONY STARK, Okay...
63,RHODEY, Okay?
64,TONY STARK," Nah, nah. Here's my point. You know what?"
65,RHODEY," Tony, you're sick."
66,TONY STARK,"  She's great, by the way."
67,RHODEY, Sit down. Sit.
68,TONY STARK," We need you. You're new blood. Bunch of tired old mules!  I got nothing for you, Cap! I got no coordinates, no clues, no strategies, no options. Zero. Zip. Nada. No trust. Liar."
69,TONY STARK," Here, take this. You find him, and you put that on. You hide."
70,STEVE ROGERS, Tony!
71,TONY STARK, I'm fine. I...
72,RHODEY, Bruce gave him a sedative. He's gonna probably be out for the rest of the day.
73,CAROL DANVERS, You guys take care of him. And I'll bring him a Xorrian Elixir when I come back.
74,NATASHA ROMANOFF, Where are you going?
75,CAROL DANVERS, To kill Thanos.
76,NATASHA ROMANOFF," Hey, you know, we usually work as a team here, and between you and I, morale's a little fragile."
77,STEVE ROGERS," We realize up there is more your territory, but this is our fight too."
78,RHODEY, You even know where he is?
79,CAROL DANVERS, I know people who might.
80,NEBULA," ""To the Garden."""
81,RHODEY," That's cute, Thanos has a retirement plan."
82,STEVE ROGERS, So where is he?
83,ROCKET," When Thanos snapped his fingers, Earth became ground zero for a power surge of ridiculously cosmic proportions. No one's ever seen anything like it... Until two days ago.  On this planet."
84,NEBULA, Thanos is there.
85,NATASHA ROMANOFF, He used the stones again.
86,BRUCE BANNER," Hey, hey, hey. We'd be going in short-handed, you know."
87,RHODEY," Look, he's still got the stones, so..."
88,CAROL DANVERS, So let's get him... Use them to bring everyone back.
89,RHODEY, Just like that?
90,STEVE ROGERS," Yeah, just like that."
91,NATASHA ROMANOFF, Even if there's a small chance that we can undo this... I mean we owe it to everyone who's not in this room to try.
92,BRUCE BANNER," If we do this, how do we know it's gonna end any differently than it did before?"
93,CAROL DANVERS," Because before, you didn't have me."
94,RHODEY," Hey, new girl, everyone here is about that superhero life. And if you don't mind my asking, where the hell have you been all this time?"
95,CAROL DANVERS," There are a lot of other planets in the universe. And unfortunately, they didn't have you guys."
96,THOR, I like this one. 
97,STEVE ROGERS, Let's go get this son of a bitch.
98,ROCKET," Okay, who here hasn't been to space?"
99,RHODEY, Why?
100,ROCKET, You better not throw up on my ship.
101,NEBULA, Approaching jump in 3... 2... 1!
102,CAROL DANVERS, I'll head down for recon.
103,NATASHA ROMANOFF," This is gonna work, Steve."
104,STEVE ROGERS, I know it will.
105,STEVE ROGERS, Cause I don't know what I'm going to do if it doesn't.
106,CAROL DANVERS," No satellites, no ships, no armies, no ground defenses of any kind. It's just him."
107,NEBULA, And that's enough.
108,ROCKET, Oh no.
109,STEVE ROGERS, Where are they?
110,CAROL DANVERS, Answer the question!
111,THANOS," The universe required correction. After that, the stones served no purpose, beyond temptation."
112,BRUCE BANNER, You murdered trillions! 
113,THANOS, You should be grateful. 
114,NATASHA ROMANOFF, Where are the Stones?
115,THANOS, Gone. Reduced to atoms.
116,BRUCE BANNER, You used them two days ago!
117,THANOS, I used the stones to destroy the stones. It nearly killed me. But the work is done. It always will be.  I am... inevitable.
118,RHODEY," We have to tear this place apart, he-he-he has to be lying."
119,NEBULA, My father is many things. A liar is not one of them.
120,THANOS," Ah, thank you, daughter.  Perhaps I treated you too harshly."
121,ROCKET, What... What did you do?
122,THOR, I went for the head.
123,JOE RUSSO," So I, uh... Went on a date the other day. It's the first time in five years, you know? I'm sitting there at dinner... I didn't even know what to talk about."
124,STEVE ROGERS, What did you talk about?
125,JOE RUSSO," Same old crap, you know? How things have changed, and... my job, his job... How much we miss the Mets. And then things get quiet... He cried as they were serving the salads."
126,JIM STARLIN, What about you?
127,JOE RUSSO," I cried... just before dessert. But I'm seeing him again tomorrow, so..."
128,STEVE ROGERS," That's great. You did the hardest part. You took the jump, you didn't know where you were gonna come down. And that's it. That's those little brave baby steps we gotta take. To try and become whole again, try and find purpose. I went in the ice in '45 right after I met the love of my life. Woke up 70 years later. You gotta move on. Gotta to move on. The world is in our hands. It's left to us guys, and we got to do something with it. Otherwise... Thanos should have killed all of us."
129,SCOTT LANG,  What the hell?
130,SCOTT LANG, Hope?
131,SCOTT LANG,  Kid! Hey kid!
132,SCOTT LANG, What the hell happened here?
133,SCOTT LANG," No. Please. Please, please.  Excuse me, sorry. No, Cassie, no."
134,SCOTT LANG, 
135,SCOTT LANG, What?
136,SCOTT LANG, Cassie?
137,CASSIE LANG, Dad? 
138,SCOTT LANG, You're so big!
139,ROCKET," Yeah, we boarded that highly suspect warship Danvers pinged."
140,NEBULA, It was an infectious garbage scowl.
141,ROCKET," So, thanks for the hot tip. "
142,CAROL DANVERS," Well, you were closer."
143,ROCKET, Yeah. And now we smell like garbage.
144,NATASHA ROMANOFF,  You get a reading on those tremors?
145,OKOYE, It was a mild subduction under the African plate.
146,NATASHA ROMANOFF, Do we have a visual? How are we handling it?
147,OKOYE," Nat, it's an earthquake under the ocean. We handle it by not handling it."
148,NATASHA ROMANOFF,"  Carol, are we seeing you here next month?"
149,CAROL DANVERS, Not likely.
150,ROCKET," What, you gonna get another haircut?"
151,CAROL DANVERS,"  Listen fur-face, I'm covering a lot of territory. The things that are happening on Earth, are happening everywhere, on thousands of planets."
152,ROCKET,"  All right, all right, that's a good point. That's a good point."
153,CAROL DANVERS, So you might not see me for a long time.
154,NATASHA ROMANOFF," Alright. Uh, well. This channel is always active. So, if anything goes sideways... anyone's making trouble where they shouldn't... comes through me."
155,ROCKET, Okay.
156,NATASHA ROMANOFF, Alright.
157,CAROL DANVERS, 
158,NATASHA ROMANOFF, Where are you?
159,RHODEY, Mexico. The Federales found a room full of bodies. Looks like a bunch of cartel guys. Never even had the chance to get their guns off.
160,NATASHA ROMANOFF, It's probably a rival gang.
161,RHODEY," Except it isn't.  I gotta tell you, there's a part of me that doesn't even want to find him."
162,NATASHA ROMANOFF, Will you find out where he's going next?
163,RHODEY, Nat...
164,NATASHA ROMANOFF, Please.
165,RHODEY, 
166,STEVE ROGERS, You know I'd offer to cook you dinner but you seem pretty miserable already. 
167,NATASHA ROMANOFF, You here to do your laundry?
168,STEVE ROGERS, And to see a friend.
169,NATASHA ROMANOFF," Clearly, your friend is fine."
170,STEVE ROGERS, You know I saw a pod of whales when I was coming up the bridge.
171,NATASHA ROMANOFF, In the Hudson?
172,STEVE ROGERS," There's fewer ships, cleaner water."
173,NATASHA ROMANOFF," You know, if you're about to tell me to look on the bright side. Um... I'm about you to hit you in the head with a peanut butter sandwich. "
174,STEVE ROGERS, Sorry. Force of habit. 
175,STEVE ROGERS," You know, I keep telling everybody they should move on and... grow. Some do. But not us."
176,NATASHA ROMANOFF," If I move on, who does this?"
177,STEVE ROGERS, Maybe it doesn't need to be done.
178,NATASHA ROMANOFF,  I used to have nothing. And then I got this. This job... this family. And I was... I was better because of it. And even though... they're gone... I'm still trying to be better.
179,STEVE ROGERS, I think we both need to get a life.
180,NATASHA ROMANOFF,  You first.
181,SCOTT LANG," Oh! Hi. Hi! Is anyone home? This is Scott Lang. We met a few years ago, at the airport? In Germany? I got really big, and I had my mask on. You wouldn't recognize me."
182,STEVE ROGERS,  Is this an old message?
183,NATASHA ROMANOFF,  It's the front gate.
184,SCOTT LANG," Ant-Man? Ant-Man, I know you know that. I need to talk to you guys."
185,STEVE ROGERS, Scott. Are you okay?
186,SCOTT LANG, Yeah. I'm fine.
187,SCOTT LANG, Have you ever studied Quantum Physics?
188,NATASHA ROMANOFF, Only to make conversation.
189,SCOTT LANG," Alright. So... five years ago, right before Thanos, I was in a place called the Quantum Realm. The Quantum Realm is like its own microscopic universe. To get in there, you have to be incredibly small. Hope, she's my... She was my...  She was supposed to pull me out. And then Thanos happened, and I got stuck in there."
190,NATASHA ROMANOFF, I'm sorry. That must've been a very long five years.
191,SCOTT LANG," Yeah, but that's just it. It wasn't. For me, it was five hours."
192,SCOTT LANG," See, the rules of the Quantum Realm aren't like they are up here. Everything is unpredictable. Is that anybody's sandwich? I'm starving."
193,STEVE ROGERS," Scott, what are you talking about?"
194,SCOTT LANG," What I'm saying is, time works differently in the Quantum Realm. The only problem is right now, we don't have a way to navigate it. But what if we did? I can't stop thinking about it. What if, we could somehow control the chaos, and we could navigate it? What if there was a way to enter the Quantum Realm at a certain point in time but then exit at another point in time? Like... Like before Thanos."
195,STEVE ROGERS," Wait, are you talking about a time machine?"
196,SCOTT LANG," No. No, of course not. No, not a time machine. It's more like a... Yeah, a time machine. I know it's crazy. But I can't stop thinking about it. There's gotta be some way... There's gotta be...some w... it's crazy."
197,NATASHA ROMANOFF," Scott, I get e-mails from a raccoon, so nothing sounds crazy anymore."
198,SCOTT LANG, So who do we talk to about this?
199,TONY STARK,  Maguna? Morgan H. Stark. You want some lunch?
200,MORGAN STARK, Define lunch or be disintegrated. 
201,TONY STARK," Okay, You should not be wearing that, okay? That is part of a special anniversary gift I'm making for Mom. "
202,MORGAN STARK, Okay.
203,TONY STARK, There you go. Are you thinking about lunch? I can give you a handful of crickets on a bed of lettuce.
204,MORGAN STARK, No.
205,TONY STARK, That's what you want. How did you find this?
206,MORGAN STARK, Garage.
207,TONY STARK, Really? Were you looking for it?
208,MORGAN STARK," No. I found it, though."
209,TONY STARK," You like going to the garage, huh? So does daddy. It's fine, actually. Your mom never wears anything I buy her."
210,SCOTT LANG,"  Now, we know what it sounds like..."
211,STEVE ROGERS," Tony, after everything you've seen, is anything really impossible?"
212,TONY STARK," Quantum fluctuation messes with the Planck Scale, which then triggers the Deutsch Proposition. Can we agree on that?"
213,STEVE ROGERS,  Thank you.
214,TONY STARK," In Layman's terms, it means you're not coming home."
215,SCOTT LANG, I did.
216,TONY STARK," No, you accidentally survived. It's a billion to one cosmic fluke. And now you wanna pull off a... What do you call it?"
217,SCOTT LANG,  A time heist?
218,TONY STARK," Yeah, a time heist. Of course, why didn't we think of this before? Oh, because it's laughable? Because it's a pipedream?"
219,SCOTT LANG, The Stones are in the past. We can go back and get them.
220,NATASHA ROMANOFF, We can snap our own fingers. We can bring everyone back.
221,TONY STARK," Or screw it up worse than he already has, right?"
222,STEVE ROGERS, I don't believe we would.
223,TONY STARK," Gotta say, sometimes I miss that giddy optimism. However, high hopes won't help if there's no logical, tangible way for me to safely execute said time heist. I believe the most likely outcome would be our collective demise."
224,SCOTT LANG," Not if we strictly follow the rules of time travel. That means no talking to our past selves, no betting on sporting events -"
225,TONY STARK," I'm gonna stop you right there, Scott. Are you seriously telling me that your plan to save the universe is based on Back To The Future?"
226,SCOTT LANG,  No.
227,TONY STARK, Good. You had me worried there. 'Cause that'd be horse shit. That's not how quantum physics works.
228,NATASHA ROMANOFF, Tony... We have to take a stand.
229,TONY STARK," We did stand. And yet, here we are."
230,SCOTT LANG," I know you got a lot on the line. You got a wife, a daughter. But I lost someone very important to me. A lot of people did.  And now, now we have a chance to bring her back. To bring everyone back. And you're telling me that won't even..."
231,TONY STARK," That's right, Scott, I won't even. I got a kid."
232,MORGAN STARK, Mommy told me to come and save you.
233,TONY STARK," Good job. I'm saved.  I wish you'd come here to ask me something else. Anything else. Honestly, I... I missed you guys, it was... Oh, and table's set for six."
234,STEVE ROGERS," Tony, I get it. And I'm happy for you, I really am. But this is a second chance."
235,TONY STARK," I got my second chance right here, Cap. I can't roll the dice again. If you don't talk shop, you can stay for lunch."
236,NATASHA ROMANOFF, He's scared.
237,STEVE ROGERS, He's not wrong.
238,SCOTT LANG," Yeah, but I mean, what are we gonna do? We need him. What, are we gonna stop?"
239,STEVE ROGERS," No, I wanna do it right. We're gonna need a really big brain."
240,SCOTT LANG,  Bigger than his?
241,BRUCE BANNER," Come on, I feel like I'm the only one eating.  Try some of that. Have some eggs."
242,SCOTT LANG, I'm so confused.
243,BRUCE BANNER,  These are confusing times.
244,SCOTT LANG," Right. No, no, that's not what I meant."
245,BRUCE BANNER,"  No, I get it. I'm kidding! I know. It's crazy. I'm wearing shirts now."
246,SCOTT LANG, Yeah! Wh...How? Why?
247,BRUCE BANNER," Five years ago, we got our asses beaten. Except it was worse for me. Because I lost twice. First, Hulk lost, then Banner lost. Then, we all lost."
248,NATASHA ROMANOFF," No one blamed you, Bruce."
249,BRUCE BANNER," I did. For years, I've been treating the Hulk like he's some kind of disease, something to get rid of. But then I started looking at him as the cure. Eighteen months in a gamma lab. I put the brains and the brawn together. And now look at me. Best of both worlds..."
250,GIRL," Excuse me, Mr. Hulk?"
251,BRUCE BANNER, Yes?
252,GIRL, Can we get a photo?
253,BRUCE BANNER," 100%, little person. Come on, step up.  You mind?"
254,SCOTT LANG," Oh, yeah."
255,BRUCE BANNER," Thanks, "
256,BRUCE BANNER, Did you get that?
257,SCOTT LANG,  Don't you wanna grab one with me? I'm Ant-Man.
258,SCOTT LANG," They're Hulk fans, they don't know Ant-Man. Nobody does."
259,BRUCE BANNER," Wait, no, no, he feels bad. No, he wants you to...he wants to..."
260,BOY, Stranger Danger.
261,SCOTT LANG, He's even saying no he doesn't. I get it. I don't want it either.
262,BRUCE BANNER," But, come on, the kid! But he...but you..."
263,SCOTT LANG, I don't want a picture with them.
264,BRUCE BANNER,  Sorry. They said they'd do it.
265,SCOTT LANG, I don't want it anymore.
266,BRUCE BANNER," No, no...you feel bad."
267,SCOTT LANG, Just take the goddamn phone.
268,GIRL," Thank you, Mr. Hulk."
269,BRUCE BANNER," No, it's great kids. Thank you very much.  Hulk out!"
270,STEVE ROGERS, Bruce.
271,BRUCE BANNER,  Dab!
272,STEVE ROGERS, Bruce.
273,BRUCE BANNER, Listen to your Mom. She knows better.
274,STEVE ROGERS, About we were saying...
275,BRUCE BANNER," Right. The whole time travel do-over? Guys, it's outside my area of expertise."
276,NATASHA ROMANOFF," Well, you pulled this off. I remember a time when that seemed pretty impossible time, too."
277,TONY STARK," Look at a mod inspiration, let me see what check out. So, recommend one last sim before we pack it in for the night. This time, in the shape of a mobius strip, inverted, please."
278,F.R.I.D.A.Y., Processing...
279,TONY STARK," Give me that eigenvalue. That, particle factoring, and a spectral decomp. That will take a second."
280,F.R.I.D.A.Y., Just a moment.
281,TONY STARK, And don't worry if it doesn't pan out. I'm just kinda -
282,F.R.I.D.A.Y., Model rendered.
283,TONY STARK, Shit!
284,MORGAN STARK, Shit.
285,TONY STARK,"  What are you doing up, little mess?"
286,MORGAN STARK, Shit.
287,TONY STARK," No, we don't say that. Only Mommy says that word. She coined it, it belongs to her."
288,MORGAN STARK, Why you up?
289,TONY STARK," 'Cause I got some important shit going on here.  What do you think? No, I got something on my mind. I got something on my mind."
290,MORGAN STARK, Was it Juice Pops?
291,TONY STARK," Sure was. That's extortion. Great minds think alike. Juice Pops, exactly was on...  my mind."
292,TONY STARK," You done? Yeah, now you are.  That face goes there."
293,MORGAN STARK, Tell me a story.
294,TONY STARK," A story... Once upon a time, Maguna went to bed. The end."
295,MORGAN STARK,  That's a horrible story.
296,TONY STARK," Come on, that's your favorite story. I love you tons. "
297,MORGAN STARK, I love you 3000.
298,TONY STARK,"  Go to bed. Or I'll sell all your toys. Night, night."
299,TONY STARK," Not that it's a competition, but she loves me 3000. You were somewhere on the low 6 to 900 range. "
300,TONY STARK,  What are you reading?
301,PEPPER POTTS," Oh, it's just a book on composting."
302,TONY STARK,  What's new with composting?
303,PEPPER POTTS, Just -
304,TONY STARK," I figured it out, by the way."
305,PEPPER POTTS," You know, just so we're talking about the same thing -"
306,TONY STARK, Time travel.
307,PEPPER POTTS,"  What? Wow... That's amazing, and... terrifying."
308,TONY STARK, That's right.
309,PEPPER POTTS, We got really lucky.
310,TONY STARK," Yeah, I know."
311,PEPPER POTTS, A lot of people didn't.
312,TONY STARK," No, I can't help everybody."
313,PEPPER POTTS, It sort a seems like you can.
314,TONY STARK," Not if I stop. I can put a pin in it right now, and stop."
315,PEPPER POTTS," Tony, trying to get you to stop has been one of the few failures of my life."
316,TONY STARK, I sometimes feel I should put it in a locked box and drop it at the bottom of a lake... go to bed.
317,PEPPER POTTS, But would you be able to rest?
318,BRUCE BANNER," Okay, here we go. Time travel test number one. Scott, fire up the uhhh... the van thing."
319,STEVE ROGERS," Breakers are set, emergency generators are on standby."
320,BRUCE BANNER," Good. 'Cause if we blow the grid, I don't wanna lose Tiny here in the 1950's. "
321,SCOTT LANG, Excuse me?
322,NATASHA ROMANOFF, He's kidding.  You can't say things like that!
323,BRUCE BANNER, Just... It was a bad joke.
324,NATASHA ROMANOFF," You were kidding, right?"
325,BRUCE BANNER,"  We're good! Get your helmet on, Scott. I'm gonna send you back a week, let you walk around for an hour, then bring you back in 10 seconds. Makes sense?"
326,SCOTT LANG, Perfectly not confusing
327,STEVE ROGERS," Good luck, Scott. You got this."
328,SCOTT LANG," You're right. I do, Captain America."
329,BRUCE BANNER, On the count of three. 3... 2... 1!
330,SCOTT LANG," Uh, guys? This...this doesn't feel right."
331,STEVE ROGERS, What is this?
332,BRUCE BANNER, What's going on?
333,NATASHA ROMANOFF, That...who is that?
334,BRUCE BANNER, Hold on. 
335,NATASHA ROMANOFF, Is that Scott?
336,SCOTT LANG," Yes, it's Scott!"
337,SCOTT LANG, Ow! My back!
338,STEVE ROGERS, What is this?
339,BRUCE BANNER, Can I get a little space here.
340,STEVE ROGERS, Yeah yeah. Can you bring him back?
341,BRUCE BANNER, I'm working on it! 
342,STEVE ROGERS, It's a baby. 
343,BRUCE BANNER, It's Scott.
344,STEVE ROGERS, As a baby!
345,BRUCE BANNER, He'll grow.
346,STEVE ROGERS, Bring Scott back!
347,BRUCE BANNER,"  When I say kill the power, kill the power."
348,NATASHA ROMANOFF, Oh my god. 
349,BRUCE BANNER, And... Kill it!
350,SCOTT LANG, Somebody peed my pants.
351,NATASHA ROMANOFF, Oh thank god.
352,SCOTT LANG," But I don't know if it was ""baby"" me or ""old"" me...Or just ""me"" me."
353,BRUCE BANNER,  Time travel!
354,BRUCE BANNER, What? I..I see this as an absolute win!
355,TONY STARK, He turned into a baby.
356,STEVE ROGERS," Among other things, yeah. What are you doing here?"
357,TONY STARK,"  That's the EPR Paradox. Instead of pushing Lang through time, you might've wound up pushing time through Lang. It's tricky. Dangerous. Somebody should've cautioned you against it."
358,STEVE ROGERS, You did.
359,TONY STARK," Oh, did I?  Turns out, resentment is corrosive, and I hate it."
360,STEVE ROGERS, Me too.
361,TONY STARK," Bring back what we lost? I hope, yes. Keep what I got? I have to, at all costs. And... maybe not die trying will be nice."
362,STEVE ROGERS, Sounds like a deal.  
363,STEVE ROGERS, Tony...
364,TONY STARK," Why? He made it for you.  Plus, honestly I have to get it out of the garage before Morgan takes it sledding."
365,STEVE ROGERS," Thank you, Tony."
366,TONY STARK," Will you keep that a little quiet? Didn't bring one for the whole team.  ...We are getting the whole team, yeah?"
367,STEVE ROGERS, We're working on that right now.
368,ROCKET," Hey, humie! Where's Big Green?"
369,SCOTT LANG," Uh, Kitchen, I think.  That's awesome."
370,NEBULA,"  Rhodey, careful on re-entry. There's an idiot on the landing zone."
371,SCOTT LANG," Oh, God!"
372,RHODEY," What's up, regular sized man?"
373,ROCKET, Kind of a step down from a from a golden palace for an Avenger highness and whatnot.
374,BRUCE BANNER," Hey, have a little compassion, pal. First they've lost Asgard, then half the people. They're probably just happy to have a home. "
375,VALKYRIE, You shouldn't have come!
376,BRUCE BANNER," Ah, Valkyrie! Great to see you, Angry Girl."
377,VALKYRIE,  I think I liked you better either of the other ways.
378,BRUCE BANNER,  This is Rocket.
379,ROCKET, How you doin'?
380,VALKYRIE,  He won't see you.
381,BRUCE BANNER," That bad, huh?"
382,VALKYRIE," We only see him once a month, when he comes for...  ... supplies."
383,BRUCE BANNER, It's that bad.
384,VALKYRIE, Yeah.
385,ROCKET,  What the...  Woo! Something died in here.
386,BRUCE BANNER, Hello? Thor?
387,THOR,  Are you here about the cable?
388,THOR," The Cinemax ran out about two weeks ago, and the sports were all kind of fuzzy. "
389,BRUCE BANNER, Thor?
390,ROCKET," No, I'm good. I'm good. That's not necessary."
391,THOR," Hulk, you know my friends, Miek, Korg, right?"
392,KORG, Hey boys!
393,BRUCE BANNER," Hey guys, long time no see."
394,KORG," Beer's on the bucket. Feel free to log on to the Wi-Fi. No password, obviously.  Thor, he's back. The kid on the TV that called me a dickhead again."
395,THOR, NoobMaster.
396,KORG," Yeah, NoobMaster69 called me a dickhead."
397,THOR," Noobmaster? Yeah, it's Thor again. You know, the God of Thunder? Listen, buddy. If you don't log off this game immediately, I am gonna fly over to your house, come down to that basement you're hiding in, rip off your arms AND SHOVE THEM UP YOUR BUTT!!! Oh, that's right. Yes, go cry to your father, you little weasel!"
398,KORG,"  Thank you, Thor."
399,THOR," Let me know if he bothers you again, okay?"
400,KORG, Thank you very much. I will.
401,THOR," So you guys want a drink? What are you drinking? We have beer, tequila, all sorts of things."
402,BRUCE BANNER," Buddy, you all right?"
403,THOR," ​​​​​​Yes, I'm fine! Why, don't I look all right?"
404,ROCKET,  You look like melted ice cream.
405,THOR,"  So, what's up?"
406,BRUCE BANNER, We need your help. There might be a chance we could fix everything.
407,THOR," What, like the cable?  Cause that's been driving me bananas for weeks."
408,BRUCE BANNER, Like Thanos.
409,THOR, Don't say that name.
410,KORG," Um, yeah. We don't actually say that name in here."
411,BRUCE BANNER,"  Now, I know that... guy might scare you."
412,THOR," Why would I be? Why would, why would I be scared of that guy? I'm the one who killed that guy, remember? Anyone else here killed that guy? Nope. Didn't think so. Korg, why don't you, tell everybody who chopped Thanos' big head off."
413,KORG, Umm... Stormbreaker?
414,THOR," Now, who's swingin' Stormbreaker?"
415,BRUCE BANNER," I get it. You're in a rough spot, okay? I've been there myself. You wanna know who helped me out of it?"
416,THOR, I don't know. Is it... Natasha?
417,BRUCE BANNER, It was you. You helped me.
418,THOR,"  The ones that are left, anyway."
419,BRUCE BANNER, I think we can bring them back.
420,THOR," Stop. stop, okay?  I know you think I'm down here wallowing in my own self-pity, waiting to be rescued and and saved. But I'm fine, okay? We're fine, aren't we?"
421,KORG," Nah, all good here, mate."
422,THOR," So, whatever it is that you're offering, we're not into it, don't care, couldn't care less. Goodbye."
423,BRUCE BANNER,"  We need you, pal."
424,ROCKET,  There's beer on the ship.
425,THOR,  What kind?
426,THUG #, Aitsu da! Akihiko-san wo!) (Translated: It's him! He's after Akihiko!
427,AKIHIKO, Why are you doing this? We never did anything to you!
428,RONIN, You survived... Half of the planet didn't. They got Thanos... you get me.
429,RONIN,Omae mo jūbun korshita daro) You're done hurting people.
430,AKIHIKO, WE hurt people? You're crazy!
431,AKIHIKO, DIE!
432,AKIHIKO, Wait! Help me! I'll give you anything! What do you want?
433,RONIN,  What I want... You can't give me.
434,CLINT BARTON, You shouldn't be here.
435,NATASHA ROMANOFF, Neither should you.
436,CLINT BARTON, I've got a job to do.
437,NATASHA ROMANOFF, Is that what you're calling this? Killing all these people isn't gonna bring your family back.
438,NATASHA ROMANOFF," We found something. A chance, maybe..."
439,CLINT BARTON,  Don't...
440,NATASHA ROMANOFF, Don't what?
441,CLINT BARTON, ...don't give me hope.
442,NATASHA ROMANOFF, I'm sorry I couldn't give it to you sooner.
443,TONY STARK,"  Ratchet, How's it going?"
444,ROCKET," It's Rocket. Take it easy. You're only a genius on Earth, pal."
445,RHODEY, Time travel suit? Not bad.
446,SCOTT LANG,"  Hey, hey, hey! Easy, easy!"
447,BRUCE BANNER, I'm being very careful.
448,SCOTT LANG," No, you're being very Hulky."
449,BRUCE BANNER, I'm being careful.
450,SCOTT LANG,"  These are Pym Particles, alright? And ever since Hank Pym got snapped out of existence, this is it. This is what we have. We're not making any more."
451,RHODEY," Scott, calm down."
452,SCOTT LANG, Sorry. We've got enough for one round trip each. That's it. No do-overs. Plus two test runs.  One test run.
453,SCOTT LANG, All right. I'm not ready for this.
454,CLINT BARTON, I'm game. I'll do it.
455,BRUCE BANNER," Clint, now you're gonna feel a little discombobulated from the chronoshift. Don't worry about it."
456,RHODEY," Wai-Wait a second, let me ask you something. If we can do this, you know, go back in time, why don't we just find baby Thanos, you know, and... "
457,BRUCE BANNER,"  First of all, that's horrible..."
