,character,line
141,EBONY MAW, He exhausts me.
142,CULL OBSIDIAN, 
143,EBONY MAW, Bring me the Stone.
144,CULL OBSIDIAN, 
145,TONY STARK," Banner, you want a piece?"
146,BRUCE BANNER," No, not really, but when do I ever get what I want?"
147,TONY STARK, That's right.
148,TONY STARK," Been a while. Good to have you, buddy."
149,BRUCE BANNER," I just... I need to concentrate here for one second. Come on, come on, man."
150,TONY STARK, Where's your guy?
151,BRUCE BANNER, I don't know. We've sort been havin' a thing.
152,TONY STARK, There's no time for a thing.
153,BRUCE BANNER, I know.
154,TONY STARK,  That's the thing right there. Let's go.
155,TONY STARK,"  Dude, you're embarrassing me in front of the wizards."
156,BRUCE BANNER," Tony, I'm sorry.  Either I can't or he won't--"
157,TONY STARK," It's okay. Hey, stand down.  Keep an eye on him. Thank you."
158,WONG, I have him.
159,BRUCE BANNER, Damn it.
160,BRUCE BANNER, Where'd that come from?
161,TONY STARK, It's nano-tech. You like it? A little someth--
162,DOCTOR STRANGE," Dr. Banner, if the rest of your green friend won't be joining us...."
163,TONY STARK," Gotta get that stone outta here, now."
164,DOCTOR STRANGE, It stays with me.
165,TONY STARK, Exactly. Bye.
166,BRUCE BANNER,"  Tony, you okay? How we doing? Good? Bad?"
167,TONY STARK," Really, really good. Really good. Do you plan on helping out?"
168,BRUCE BANNER, I'm trying. He won't come out.
169,TONY STARK, Hammer. 
170,BRUCE BANNER,  Come out! Come out! Come out!
171,HULK, 
172,BRUCE BANNER," What do you mean, ""no""?!"
173,PETER PARKER," Hey, man. What's up, Mr. Stark?"
174,TONY STARK," Kid, where'd you come from?"
175,PETER PARKER, Field trip to MoMA.
176,PETER PARKER," What is this guy's problem, Mr. Stark?"
177,TONY STARK, He's from space. He came here to steal a necklace from a wizard.
178,EBONY MAW, Your powers are quaint. You must be popular with children.
179,DOCTOR STRANGE, It's a simple spell but quite unbreakable.
180,EBONY MAW,  Then I'll take it off your corpse.
181,DOCTOR STRANGE, You'll find... removing a dead man's spell... troublesome.
182,EBONY MAW, You'll only wish you were dead.  NO!
183,TONY STARK,"  Kid, that's the wizard. Get on it."
184,PETER PARKER, On it!
185,PETER PARKER,  Not cool!
186,PETER PARKER," Uhhh, Mr. Stark? I'm being beamed up!"
187,TONY STARK," Hang on, kid. "
188,TONY STARK, 
189,TONY STARK,"  Pete, you gotta let go. I'm gonna catch you."
190,PETER PARKER, But you said save the wizard!  I can't breathe!
191,TONY STARK, You're too high up. You're running out of air.
192,PETER PARKER, Yeah! That makes sense.
193,PETER PARKER," Mr. Stark, it smells like a new car in here!"
194,TONY STARK," Happy trails, kid. F.R.I.D.A.Y, send him home."
195,F.R.I.D.A.Y., Yep.
196,PETER PARKER," OH, COME ON!"
197,F.R.I.D.A.Y.," Boss, incoming call from Miss Potts."
198,PEPPER POTTS,"  Tony? Oh, my God. Are you all right? What's going on?"
199,TONY STARK,30 res.
200,PEPPER POTTS, Why?
201,TONY STARK,  Just 'cause I'll... probably not make it back for a while.
202,PEPPER POTTS, Tell me you're not on that ship.
203,TONY STARK, Yeah.
204,PEPPER POTTS," God, no. Please tell me you're not on that ship."
205,TONY STARK," Honey, I'm sorry. I'm sorry, I don't know what to say."
206,PEPPER POTTS," Come back here, Tony. I swear to God…."
207,TONY STARK, Pep….
208,PEPPER POTTS, Come back here right now! Come back!
209,F.R.I.D.A.Y.," Boss, we're losing her. I'm going, too…."
210,PETER PARKER, Oh my God!  I should have stayed on the bus....
211,BRUCE BANNER, Where you going?
212,WONG, The Time Stone's been taken. The Sanctum remains unguarded. What will you do?
213,BRUCE BANNER,  I'm gonna make a call.
214,PETER QUILL,"  Sing it, Drax!"
215,ROCKET,  Why are we doing this again?
216,GAMORA,"  It's a distress signal, Rocket. Someone could be dying."
217,ROCKET," I get that, but why are we doing it?"
218,PETER QUILL, 'Cause we're nice. And maybe whoever it is will give us a little cheddar cheese  for our help.
219,GAMORA,  Which isn't the point.
220,PETER QUILL,  Which isn't the point... I mean… if he doesn't pony up….
221,DRAX, We'll take his ship.
222,ROCKET, Exactly!
223,PETER QUILL, B-b-b-bingo!
224,MANTIS,  We are arriving.
225,PETER QUILL," All right, Guardians. Don't forget, this might be dangerous, so let's put on our mean faces.  Groot."
226,GROOT,  I am Groot!
227,PETER QUILL, Whoa!
228,ROCKET, Language!
229,GAMORA, Hey!
230,DRAX, Wow.
231,PETER QUILL," You got some acorns on you, kid."
232,ROCKET," Ever since you got a little sap, you're a total d-hole. Keep it up, and I'm gonna SMASH THAT THING TO PIECES!"
233,MANTIS, What happened?
234,ROCKET, Looks like we're not getting paid.
235,ROCKET,  Wipers! Wipers! Get it off!
236,PETER QUILL, How the hell is this dude still alive?
237,DRAX,"  He is not a dude. You're a dude. This... this is a man. A handsome, muscular man."
238,PETER QUILL,  I'm muscular.
239,ROCKET," Who are you kidding, Quill? You're one sandwich away from fat."
240,PETER QUILL," Yeah, right."
241,DRAX, It's true. You have gained a little weight…. 
242,PETER QUILL," What? Gamora, do you think I'm…"
243,MANTIS, He is anxious. Angry. He feels tremendous loss and guilt.
244,DRAX, It's like a pirate had a baby with an angel.
245,PETER QUILL, Wow. This is a real wake-up call for me. Okay. I'm gonna get a Bow-flex. I'm gonna commit. I'm gonna get some dumbbells.
246,ROCKET," You know you can't eat dumbbells, right?"
247,GAMORA,  It's like his muscles are made of Cotati metal fibers.
248,PETER QUILL,  Wake him up.
249,MANTIS,  Wake.
250,THOR, Who the hell are you guys?
251,GAMORA," To bring balance to the Universe by wiping out half of all life. He used to kill people planet by planet, massacre by massacre...."
252,DRAX, Including my own.
253,GAMORA," If he gets all six Infinity Stones, he can do it with the snap of his fingers, like this. "
254,THOR, You seem to know a great deal about Thanos.
255,DRAX, Gamora... is the daughter of Thanos.
256,THOR, Your father killed my brother. 
257,PETER QUILL," Oh, boy. Stepfather. Technically, she hates him as much as you do. "
258,THOR," Families can be tough.  Before my father died, he told me I had a half-sister... that he imprisoned in Hel. Then she returned home, and stabbed me in the eye, so... I had to kill her. It's life, isn't it, I guess. Goes round and round and... I feel your pain."
259,PETER QUILL," And I feel your pain, as well. I mean it's not a competition, but I've been through a lot. My father killed my mother, then I had to kill my father. And that was hard. Probably even harder than having to kill a sister. Plus, I, came out of it with both of my eyes--"
260,THOR,"  I need a hammer, not a spoon…. (He attempts to fiddle with machinery) How do I open this thing? Is there some sort of a four-digit code maybe… maybe a birth date or something…."
261,PETER QUILL, What are you doing?
262,THOR, Taking your pod.
263,PETER QUILL,"  You'll not, be taking our pod today, sir."
264,ROCKET, Quill. Are you making your voice deeper?
265,PETER QUILL, No.
266,DRAX, You are. You're imitating the god-man. It's weird.
267,PETER QUILL, No I'm not.
268,MANTIS,  He just did it again!
269,PETER QUILL, This is my voice!
270,THOR,  Are you mocking me?
271,PETER QUILL, Are you mocking me?
272,THOR, Stop it. You did it again.
273,PETER QUILL, He's trying to copy me.
274,THOR, Would you stop doing that? He's doing it first.
275,GAMORA, Enough! We need to stop Thanos. Which means we need to find out where he's going next.
276,THOR, Knowhere.
277,MANTIS, He must be going somewhere.
278,PETER QUILL," No. Knowhere? It's a place. We've been there. It sucks. Excuse me, that's our food. "
279,THOR, Not anymore.
280,GAMORA, Thor… why would he go to Knowhere?
281,THOR," Because for years, the Reality Stone has been safely stored, there with a man we call the Collector."
282,PETER QUILL," If it's with the Collector, then it's not safe. Only an idiot would give that man a stone."
283,THOR, Or a genius.
284,GAMORA,  How do you know he's not going for one of the other Stones?
285,THOR," There's six stones out there.  Thanos already has the Power Stone because he stole it last week, when he decimated Xandar. He stole the Space Stone from me when he destroyed my ship and slaughtered half my people. The Time and Mind Stones are safe on Earth. They're with the Avengers."
286,PETER QUILL, The Avengers?
287,THOR,  Earth's Mightiest Heroes.
288,MANTIS, Like Kevin Bacon?
289,THOR,"  He may be on the team. I don't know. Haven't been there in a while. As for the Soul Stone, well, no one's ever seen that. No one even knows where it is. Therefore, Thanos can't get it. Therefore, he's going to Knowhere. Hence, he'll be getting the Reality Stone. You're welcome."
290,GAMORA, Then we have to go to Knowhere now.
291,THOR," Wrong! Where we have to go, is Nivadellir."
292,DRAX, That's a made up word.
293,THOR, All words are made up.
294,ROCKET," Hold up, Nidavellir is real?  They make the most powerful, horrific weapons to ever torment the Universe. I would very much like to go there, please."
295,THOR," The rabbit is correct, and clearly the smartest among you."
296,ROCKET, Rabbit?
297,THOR," Only Eitri the dwarf king can make me the weapon I need.  I assume you're the captain, sir?"
298,ROCKET, You're very perceptive.
299,THOR, You seem like a noble leader. Will you join me on my quest to Nidavellir?
300,ROCKET," Lemme just ask the captain. Oh, wait a second, it's me! Yeah, I'll go."
301,THOR, Wonderful.
302,PETER QUILL, Except for that I'm the captain.
303,THOR, Quiet!
304,PETER QUILL, That's my backpack.
305,ROCKET, Go sit down.
306,PETER QUILL,"  Wait, what kind of weapon are we talking about here?"
307,THOR, The Thanos killing kind.
308,PETER QUILL, Don't you think that we should all have a weapon like that?
309,THOR, No. You simply lack the strength to wield them. Your bodies will crumble as your minds collapse into the madness.
310,ROCKET, Is it weird that I wanna do it even more now?
311,THOR, A little bit. Yeah.
312,GAMORA," If we don't go to Knowhere and Thanos retrieves another stone, he'll be too powerful to stop."
313,THOR, He already is.
314,ROCKET," I got it figured out. We got two ships, and a large assortment of morons. So me and Groot will go with the pirate-angel here, and the morons will go to Knowhere to try and stop Thanos. Cool? Cool."
315,THOR, So cool. 
316,PETER QUILL,  For the record… I know that you're only going with him because it's where Thanos isn't.
317,ROCKET," You know, you shouldn't talk that way to your captain, Quill.  Come on, Groot. Put that game down, you'll rot your brain."
318,THOR," I bid you farewell and good luck, morons. Bye."
319,VISION, 
320,WANDA MAXIMOFF, Vis? Is it the stone again?
321,VISION, It's as if it's speaking to me.
322,WANDA MAXIMOFF, What does it say?
323,VISION, I don't... I don't know. But something... 
324,VISION, Tell me what you feel.
325,WANDA MAXIMOFF, I just feel you.
326, WANDA MAXIMOFF, So there's a 10 AM to Glasgow to give us more time together before you went back.
327,VISION, What if I miss that train?
328,WANDA MAXIMOFF, There is an 11.
329,VISION," What if I missed all the trains? What if this time, I didn't go back?"
330,WANDA MAXIMOFF, You gave Stark your word.
331,VISION, I'd rather give it to you.
332,WANDA MAXIMOFF," There are people who are expecting me too, you know. We both made promises."
333,VISION," Not to each other.  You know what, I'm just gonna speak for myself -- I, I... I think..."
334,WANDA MAXIMOFF, It works.
335,VISION, It works.
336,VISION, Then stay. Stay with me.
337,VISION,  Or not. If I'm overstepping…
338,WANDA MAXIMOFF,  What are they?
339,VISION, What the stone was warning me about.  I have to go.
340,WANDA MAXIMOFF," No, Vision. Vision, if that's true… then maybe going isn't the best idea."
341,VISION," Wanda, I… "
342,WANDA MAXIMOFF, Vision! 
343,VISION, The blade. It stopped me from phasing.
344,WANDA MAXIMOFF, Is that even possible?
345,VISION, It isn't supposed to be.  I'm beginning to think... we should have stayed in bed.
346,WANDA MAXIMOFF, Vis!
347,CORVUS GLAIVE,"  Give up the Stone, and she lives."
348,WANDA MAXIMOFF, Hands off.
349,WANDA MAXIMOFF,"  Come on. Come on. Come on, you gotta get up. You gotta get up. Come on. Hey. Hey. We have to go."
350,VISION, Please. Please leave.
351,WANDA MAXIMOFF, You asked me to stay.... I'm staying.
352,VISION, Please.
353,WANDA MAXIMOFF, Get up.
354,PROXIMA MIDNIGHT,  Get up.
355,CORVUS GLAIVE, I can't.
356,NATASHA ROMANOFF,  We don't wanna kill you. But we will.
357,PROXIMA MIDNIGHT, You'll never get the chance again.
358,SAM WILSON,  Can you stand?
359,VISION,"  Thank you, Captain."
360,STEVE ROGERS,  Let's get you on the jet.
361,NATASHA ROMANOFF,"  I thought we had a deal. Stay close, check in. Don't take any chances."
362,WANDA MAXIMOFF, I'm sorry. We just wanted time.
363,SAM WILSON," Where to, Cap?"
364,STEVE ROGERS, Home.
365,GAMORA'S MOTHER,  Shh. We'll be safe. We'll be safe.
366,CHILD OF THANOS, 
367,EBONY MAW,  Zehobereians…
368,YOUNG GAMORA,  Mother! Where's my mother?!
369,EBONY MAW," Choose a side, or die."
370,YOUNG GAMORA, Mother! 
371,EBONY MAW," One side is a revelation. The other, an honor known only to a few."
372,THANOS," What's wrong, little one?"
373,YOUNG GAMORA, My mother. Where is my mother?
374,THANOS,  What's your name?
375,YOUNG GAMORA, Gamora.
376,THANOS," You're quite the fighter, Gamora. Come. Let me help you.  Here. You try."
377,EBONY MAW," Now go in peace, and meet your Maker."
378,THANOS, Concentrate. There! You've got it.
379,PETER QUILL," Gamora. Do you know if these grenades are the ""blow off your junk"" kind or the gas kind? 'Cause I was thinking I might hang a couple on my belt right here. But I don't want to--"
380,GAMORA, I need to ask a favor.
381,PETER QUILL," Yeah, sure."
382,GAMORA," One way or another, the path that we're on leads to Thanos."
383,PETER QUILL, Which is what the grenades are for.  I'm sorry. What's the favor?
384,GAMORA, If things go wrong… If Thanos gets me… I want you to promise me… you'll kill me.
385,PETER QUILL,  What?
386,GAMORA, I know something he doesn't. If he finds out… the entire Universe could be at risk.
387,PETER QUILL,  What do you know?
388,GAMORA," If I tell you, you'd know, too."
389,PETER QUILL," If it's so important, shouldn't I?"
390,GAMORA, Only if you wanna die.
391,PETER QUILL, Why does somebody always have to die in this scenario?
392,GAMORA," Just… trust me. And possibly, kill me."
393,PETER QUILL," I mean, I'd like to. I really would… "
394,GAMORA, Swear to me. Swear to me on your mother.
395,PETER QUILL,  Okay.
396,PETER QUILL, Dude. How long have you been standing there?
397,DRAX, An hour.
398,PETER QUILL, An hour? Are you serious?
399,DRAX, I've mastered the ability of standing so incredibly still... that I become invisible to the eye... watch.
400,PETER QUILL, You're eating a zarg-nut.
401,DRAX, But my movement... was so slow... that it's imperceptible.
402,PETER QUILL," Mmm, no. "
403,DRAX, I'm sure I'm invisible.
404,MANTIS," Hi, Drax."
405,DRAX,  Damn it.
406,PETER QUILL, This place looks deserted.
407,DRAX, I'm reading movement from the third quadrant.
408,PETER QUILL," Yep. I'm picking that up, too. Let's put it down right here."
409,COLLECTOR, I don't have it.
410,THANOS, Everyone in the Galaxy knows you'd sell your own brother if you thought it would add the slightest trinket to your pathetic collection.
411,THANOS," I know you have the Reality Stone, Tivan. Giving it to me will spare you a great deal of suffering. "
412,COLLECTOR,  I told you. I sold it. Why would I lie?
413,THANOS, I imagine it's like breathing for you.
414,COLLECTOR, Like suicide.
415,THANOS, So you do understand. Not even you would surrender something so precious.
416,COLLECTOR, I didn't know what it was.
417,THANOS," Then you're more of a fool than I took you for. Last chance, charlatan. Where's the Stone?"
418,DRAX, Today...
419,PETER QUILL,  Drax. Drax.
420,DRAX, ...He pays for the deaths of my wife and daughter.
421,PETER QUILL," Drax, waaaaait!  Drax, Drax, Drax. He doesn't have the Stone yet. We get it, and then we can stop him. We have to get the Stone first. Yeah."
422,DRAX, No. No. For Ovette. For Camaria.
423,MANTIS, Sleeeep. 
424,PETER QUILL," Okay. Gamora, Mantis, you go right. I'm...  The other right!"
425,THANOS, Why? 
426,PETER QUILL,  That was quick.
427,COLLECTOR, Magnificent! Magnificent! Magnificent!
428,THANOS," Is it sadness I sense in you, daughter? In my heart, I knew you still cared. But one ever knows for sure. Reality is often disappointing."
429,THANOS," That is, it was. Now… reality can be whatever I want."
430,GAMORA,  You knew I'd come.
431,THANOS," I counted on it. There's something we need to discuss, little one."
432,DRAX, Thanos!
433,PETER QUILL,"  Let her go, Grimace!"
434,GAMORA, Peter…
435,PETER QUILL,  I told you to go right.
436,GAMORA, Now? Really?
437,PETER QUILL, You let her go!
438,THANOS," Ah, the boyfriend."
439,PETER QUILL, I like to think of myself more as a Titan-killing long-term booty call. Let her go.
440,GAMORA, Peter…
441,PETER QUILL, Or I'm gonna blow that nut sack of a chin right off your face!
442,GAMORA, Not him.
443,GAMORA, You promised! You promised.
444,THANOS," Oh, daughter. You expect too much from him.  DO IT!!"
445,PETER QUILL,  I told you to go right.
446,GAMORA," I love you, more than anything."
447,PETER QUILL," I love you, too."
448,THANOS,  I like you.
449,SECRETARY ROSS, Still no word from Vision?
450,JAMES RHODES, Satellites lost him somewhere over Edinburgh.
451,SECRETARY ROSS, On a stolen Quinjet with four of the world's most wanted criminals.
452,JAMES RHODES," You know they're only criminals because you've chosen to call them that, right, sir?"
453,SECRETARY ROSS," My God, Rhodes, your talent for horseshit rivals my own."
454,JAMES RHODES," If it weren't for those Accords, Vision would've been right here."
455,SECRETARY ROSS," I remember your signature on those papers, Colonel."
456,JAMES RHODES, 
457,SECRETARY ROSS, You have second thoughts?
458,JAMES RHODES, Not anymore.
459,STEVE ROGERS, Mr. Secretary.
460,SECRETARY ROSS, You got some nerve. I'll give you that.
461,NATASHA ROMANOFF, You could use some of that right now.
462,SECRETARY ROSS," The world's on fire. And you think, all is forgiven?"
463,STEVE ROGERS," I'm not looking for forgiveness. And I'm way past asking for permission. Earth just lost her best defender. So we're here to fight.  And if you wanna stand in our way... we'll fight you, too."
464,SECRETARY ROSS,  Arrest them.
465,JAMES RHODES," All over it.  That's a court-martial. It's great to see you, Cap."
466,STEVE ROGERS, 
467,JAMES RHODES, Well. You guys really look like crap. Must've been a rough couple of years.
468,SAM WILSON," Yeah, well, the hotels weren't exactly five star."
469,BRUCE BANNER," Uh, I think you look great.   Uh... heh... Yeah. I'm back."
470,NATASHA ROMANOFF," Hi, Bruce."
471,BRUCE BANNER, Nat.
472,SAM WILSON,  This is awkward.
473,JAMES RHODES," So we gotta assume they're coming back, right?"
474,WANDA MAXIMOFF, And they can clearly find us.
475,BRUCE BANNER, We need all hands on deck. Where's Clint?
476,NATASHA ROMANOFF," After the whole Accords situation, he and Scott took a deal. It was too tough on their families, they're on house arrest."
477,BRUCE BANNER, Who's Scott?
478,STEVE ROGERS, Ant-Man.
479,BRUCE BANNER," There's an Ant-Man and a Spider-Man? Okay, look… Thanos has the biggest army in the universe. And he is not gonna stop until he... he gets... Vision's Stone."
480,NATASHA ROMANOFF," Well then, we have to protect it."
481,VISION," No, we have to destroy it. I've been giving a good deal of thought to this entity in my head, about its nature. But also, its composition. I think if it were exposed to a sufficiently powerful energy source, something, very similar to its own signature, perhaps… its molecular integrity could fail. "
482,WANDA MAXIMOFF," And you, with it. We're not having this conversation."
483,VISION, Eliminating the stone is the only way to be certain that Thanos can't get it.
484,WANDA MAXIMOFF, That's too high a price.
485,VISION,  Thanos threatens half the Universe. One life cannot stand in the way of defeating him.
486,STEVE ROGERS,"  We don't trade lives, Vision."
487,VISION,"  Captain, 70 years ago, you laid down your life to save how many millions of people. Tell me, why is this any different?"
488,BRUCE BANNER," Because you might have a choice. Your mind is made up of a complex construct of overlays. J.A.R.V.I.S., Ultron, Tony, me, the Stone. All of them mixed together. All of them learning from one another."
489,WANDA MAXIMOFF, You're saying Vision isn't just the stone?
490,BRUCE BANNER," I'm saying that if we take out the stone, there's still a whole lot of Vision left. Perhaps the best parts."
491,NATASHA ROMANOFF, Can we do that?
492,BRUCE BANNER, Not me. Not here.
